datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,LEBON REGIS,Mata Atlantica,4,0.5,0.1,-26.914,-50.628,7.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,114,0,1,-11.69,-54.563,43
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,112,0,1,-11.699,-54.548,77
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,113,0,1,-11.701,-54.562,28.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,PONTE ALTA DO NORTE,Mata Atlantica,2,7.1,0,-27.24,-50.292,7.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,PONTE ALTA DO NORTE,Mata Atlantica,2,7.2,0,-27.242,-50.297,9.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,CERRO NEGRO,Mata Atlantica,3,0,0,-27.724,-50.876,14.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,CERRO NEGRO,Mata Atlantica,3,0,0,-27.726,-50.891,11.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,111,0,1,-11.71,-54.547,79.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,69,0,1,-11.728,-49.906,52.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,98,0,1,-11.728,-50.612,13.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,74,0,1,-11.729,-49.915,275.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,115,0,1,-11.73,-50.695,15.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,81,0,1,-11.731,-49.924,38
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,78,0,1,-11.738,-49.914,68.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,115,0,1,-11.738,-50.685,10.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,115,0,1,-11.739,-50.694,16.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,85,0,1,-11.74,-49.923,353.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,91,0,1,-11.741,-49.932,100.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,89,0,1,-11.764,-50.607,82.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,99,0,1,-11.793,-50.686,27.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,88,0,1,-11.796,-50.633,16.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO BOA VISTA,Amazonia,110,0,1,-11.796,-52.014,28.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO BOA VISTA,Amazonia,110,0,1,-11.804,-52.016,38
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,77,0,1,-11.828,-50.665,17.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,NATIVIDADE,Cerrado,109,0,1,-11.833,-47.662,23.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,NATIVIDADE,Cerrado,109,0,1,-11.835,-47.673,18.5
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,101,0,1,-9.042,-46.884,366.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,101,0,1,-9.044,-46.898,134
